epoch,accuracy,loss,val_accuracy,val_loss
1,0.164342,3.621930,0.010526,5.072106
2,0.473421,2.062326,0.021053,5.816980
3,0.644079,1.422585,0.021053,6.716118
4,0.757105,1.044150,0.021053,7.063159
5,0.808026,0.827252,0.042105,6.303953
6,0.845132,0.673211,0.083158,5.144314
7,0.880132,0.540794,0.305263,2.742999
8,0.901184,0.458579,0.666316,1.222749
9,0.916053,0.380557,0.842105,0.598742
10,0.928947,0.331538,0.951579,0.225034
11,0.931316,0.300733,0.953684,0.181518
12,0.944605,0.256899,0.978947,0.099692
13,0.951184,0.222922,0.976842,0.097404
14,0.952237,0.211989,0.980000,0.081432
15,0.960790,0.179664,0.982105,0.071000
16,0.961053,0.178279,0.984211,0.067859
17,0.964605,0.154173,0.981053,0.075124
18,0.965658,0.153062,0.988421,0.064041
19,0.969474,0.133989,0.989474,0.058815
20,0.969605,0.125472,0.988421,0.058961
21,0.973289,0.117580,0.985263,0.059181
22,0.972632,0.114766,0.987368,0.055536
23,0.975263,0.102626,0.989474,0.059056
24,0.976447,0.101262,0.988421,0.057299
25,0.977237,0.091591,0.984211,0.053335
26,0.979211,0.080692,0.989474,0.055517
27,0.981842,0.076613,0.983158,0.056563
28,0.981447,0.075879,0.986316,0.046621
29,0.981579,0.070223,0.988421,0.052612
30,0.981974,0.070759,0.987368,0.052871
